op_name,kernel_source,num_tokens,hidden,inter,num_experts,topk,ep_size,num_local_experts,dtype,latency_us
moe_dispatch_combine,vllm_ascend_FusedMC2,768,6144,2048,256,8,8,32,w8a8_dynamic,462.4152
moe_dispatch_combine,vllm_ascend_FusedMC2,1024,6144,2048,256,8,8,32,bf16,574.0668
moe_dispatch_combine,vllm_ascend_FusedMC2,1024,6144,2048,256,8,8,32,w8a8_dynamic,528.9076
moe_dispatch_combine,vllm_ascend_FusedMC2,1536,6144,2048,256,8,8,32,bf16,683.6592
moe_dispatch_combine,vllm_ascend_FusedMC2,1536,6144,2048,256,8,8,32,w8a8_dynamic,640.6880
moe_dispatch_combine,vllm_ascend_FusedMC2,2048,6144,2048,256,8,8,32,bf16,831.5660
moe_dispatch_combine,vllm_ascend_FusedMC2,2048,6144,2048,256,8,8,32,w8a8_dynamic,815.4048
moe_dispatch_combine,vllm_ascend_FusedMC2,3072,6144,2048,256,8,8,32,bf16,1147.2980
moe_dispatch_combine,vllm_ascend_FusedMC2,3072,6144,2048,256,8,8,32,w8a8_dynamic,1050.9404
moe_dispatch_combine,vllm_ascend_FusedMC2,4096,6144,2048,256,8,8,32,bf16,1514.8759
moe_dispatch_combine,vllm_ascend_FusedMC2,4096,6144,2048,256,8,8,32,w8a8_dynamic,1370.1833
