nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,16,268435456,HCCL,all_to_all,2.0281
half,2,536870912,HCCL,all_to_all,3.86004
half,4,536870912,HCCL,all_to_all,3.03246
half,8,536870912,HCCL,all_to_all,3.26407
half,16,536870912,HCCL,all_to_all,3.87526
half,32,128,HCCL,all_to_all,0.02024
half,32,256,HCCL,all_to_all,0.02027
half,32,512,HCCL,all_to_all,0.02079
half,32,1024,HCCL,all_to_all,0.01992
half,32,2048,HCCL,all_to_all,0.01989
half,32,4096,HCCL,all_to_all,0.01989
half,32,8192,HCCL,all_to_all,0.02027
half,32,16384,HCCL,all_to_all,0.02001
half,32,32768,HCCL,all_to_all,0.02021
half,32,65536,HCCL,all_to_all,0.02059
half,32,131072,HCCL,all_to_all,0.02071
half,32,262144,HCCL,all_to_all,0.0209
half,32,524288,HCCL,all_to_all,0.02182
half,32,1048576,HCCL,all_to_all,0.0242
half,32,2097152,HCCL,all_to_all,0.03139
half,32,4194304,HCCL,all_to_all,0.04471
half,32,8388608,HCCL,all_to_all,0.073
half,32,16777216,HCCL,all_to_all,0.12825
half,32,33554432,HCCL,all_to_all,0.23937
half,32,67108864,HCCL,all_to_all,0.52453
half,32,134217728,HCCL,all_to_all,1.19697
half,32,268435456,HCCL,all_to_all,2.46352
half,32,536870912,HCCL,all_to_all,4.63292
half,2,128,HCCL,reduce_scatter,0.00362
half,4,128,HCCL,reduce_scatter,0.00507
half,8,128,HCCL,reduce_scatter,0.0075
half,16,128,HCCL,reduce_scatter,0.02196
half,2,256,HCCL,reduce_scatter,0.00351
half,4,256,HCCL,reduce_scatter,0.00462
half,8,256,HCCL,reduce_scatter,0.00765
half,16,256,HCCL,reduce_scatter,0.02207
half,8,272,HCCL,reduce_scatter,0.00802
half,2,512,HCCL,reduce_scatter,0.00303
half,4,512,HCCL,reduce_scatter,0.00467
half,8,512,HCCL,reduce_scatter,0.00766
half,16,512,HCCL,reduce_scatter,0.02223
half,8,528,HCCL,reduce_scatter,0.00786
half,2,1024,HCCL,reduce_scatter,0.00368
half,4,1024,HCCL,reduce_scatter,0.00514
half,8,1024,HCCL,reduce_scatter,0.00766
half,16,1024,HCCL,reduce_scatter,0.02172
half,2,1152,HCCL,reduce_scatter,0.00374
half,4,1152,HCCL,reduce_scatter,0.00471
half,8,1152,HCCL,reduce_scatter,0.00781
half,2,2048,HCCL,reduce_scatter,0.0031
half,4,2048,HCCL,reduce_scatter,0.00464
half,8,2048,HCCL,reduce_scatter,0.00778
half,16,2048,HCCL,reduce_scatter,0.02155
half,2,3072,HCCL,reduce_scatter,0.0033
half,4,3072,HCCL,reduce_scatter,0.00468
half,8,3072,HCCL,reduce_scatter,0.00782
half,2,4096,HCCL,reduce_scatter,0.00308
half,4,4096,HCCL,reduce_scatter,0.00466
half,8,4096,HCCL,reduce_scatter,0.00782
half,16,4096,HCCL,reduce_scatter,0.0217
half,2,7168,HCCL,reduce_scatter,0.00326
half,4,7168,HCCL,reduce_scatter,0.00473
half,8,7168,HCCL,reduce_scatter,0.00783
half,2,8192,HCCL,reduce_scatter,0.00326
half,4,8192,HCCL,reduce_scatter,0.00474
