OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"1,32,128;8,128,4096;8,128,4096",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,62.86,attention_generation,1,1024,32,0,128
dynamic,AI_CORE,"1,32,128;8,128,128;8,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,68.53,attention_generation,1,1024,32,1,128
dynamic,AI_CORE,"1,32,128;8,128,512;8,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,63.05,attention_generation,1,1024,32,4,128
dynamic,AI_CORE,"1,32,128;8,128,1024;8,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,60.99,attention_generation,1,1024,32,8,128
dynamic,AI_CORE,"1,40,128;8,128,5120;8,128,5120",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,60.36,attention_generation,1,1024,40,0,128
dynamic,AI_CORE,"1,40,128;8,128,128;8,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,59.63,attention_generation,1,1024,40,1,128
dynamic,AI_CORE,"1,40,128;8,128,512;8,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,59.76,attention_generation,1,1024,40,4,128
dynamic,AI_CORE,"1,40,128;8,128,1024;8,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,59.98,attention_generation,1,1024,40,8,128
dynamic,AI_CORE,"1,64,128;8,128,8192;8,128,8192",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,64.18,attention_generation,1,1024,64,0,128
dynamic,AI_CORE,"1,64,128;8,128,128;8,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,59.79,attention_generation,1,1024,64,1,128
dynamic,AI_CORE,"1,64,128;8,128,512;8,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,57.95,attention_generation,1,1024,64,4,128
dynamic,AI_CORE,"1,64,128;8,128,1024;8,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,59.86,attention_generation,1,1024,64,8,128
dynamic,AI_CORE,"1,8,128;16,128,1024;16,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,59.99,attention_generation,1,2048,8,0,128
dynamic,AI_CORE,"1,8,128;16,128,128;16,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,49.28,attention_generation,1,2048,8,1,128
dynamic,AI_CORE,"1,8,128;16,128,512;16,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,48.69,attention_generation,1,2048,8,4,128
dynamic,AI_CORE,"1,8,128;16,128,1024;16,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,48.21,attention_generation,1,2048,8,8,128
dynamic,AI_CORE,"1,16,128;16,128,2048;16,128,2048",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,59.34,attention_generation,1,2048,16,0,128
