framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,1,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.223996
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,16,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.270164
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,32,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.301485
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,64,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.360205
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,128,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.456752
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,256,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.665268
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,512,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,1.272328
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,1024,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,3.664309
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,1536,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,7.320415
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,2048,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,12.079098
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,3072,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,18.903065
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,4096,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,25.642368
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,6144,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,27.168813
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,8192,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,28.424399
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,10240,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,29.852129
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,12288,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,31.205435
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,16384,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,34.023513
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,32768,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,45.103799
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,1,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.213560
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,16,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.298160
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,32,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.353924
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,64,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.448803
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,128,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.600968
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,256,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.997136
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,512,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,2.453161
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,1024,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,6.917941
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,1536,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,14.161456
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,2048,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,23.651477
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,3072,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,37.708201
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,4096,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,51.061812
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,6144,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,54.221685
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,8192,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,56.896685
